participant_id,vis,task_order,correctness,vis_order,duration_ms,log_duration,bc_duration
66769d971af102d5b24e5f8c,blossom,2,1,2,20657,9.935809524,2.833511991
66769d971af102d5b24e5f8c,blossom,3,1,2,15593,9.654577375,2.823543764
66769d971af102d5b24e5f8c,blossom,4,1,2,12914,9.466067273,2.816306423
66769d971af102d5b24e5f8c,blossom,5,1,2,10254,9.235423152,2.806794658
66769d971af102d5b24e5f8c,blossom,6,1,2,20274,9.917094556,2.83287792
66769d971af102d5b24e5f8c,blossom,7,1,2,17532,9.771783062,2.82781457
66769d971af102d5b24e5f8c,blossom,8,1,2,12200,9.409191231,2.81402988
66769d971af102d5b24e5f8c,blossom,9,1,2,46035,10.73715726,2.857192765
66769d971af102d5b24e5f8c,radial,1,1,3,16985,9.740085881,2.826676358
66769d971af102d5b24e5f8c,radial,2,1,3,13281,9.494089721,2.817411929
66769d971af102d5b24e5f8c,radial,3,1,3,25962,10.16438921,2.840938487
66769d971af102d5b24e5f8c,radial,4,1,3,12118,9.40244723,2.813757002
66769d971af102d5b24e5f8c,radial,5,1,3,30151,10.31397337,2.845494312
66769d971af102d5b24e5f8c,radial,6,1,3,21200,9.961756461,2.834384416
66769d971af102d5b24e5f8c,radial,7,0,3,15652,9.658353983,2.823684056
66769d971af102d5b24e5f8c,radial,8,1,3,9963,9.20663351,2.805553991
66769d971af102d5b24e5f8c,radial,9,0,3,29699,10.29886865,2.84504475
66a7e128f37f34ca658be38b,diverging,1,1,1,35488,10.47694989,2.85020052
66a7e128f37f34ca658be38b,diverging,2,1,1,21386,9.970491781,2.834676395
66a7e128f37f34ca658be38b,diverging,3,0,1,22074,10.00215572,2.835727505
66a7e128f37f34ca658be38b,diverging,4,1,1,19005,9.852457381,2.830656601
66a7e128f37f34ca658be38b,diverging,5,1,1,14952,9.612600349,2.821972191
66a7e128f37f34ca658be38b,diverging,6,0,1,15636,9.657331227,2.823646081
66a7e128f37f34ca658be38b,diverging,7,1,1,14849,9.605687802,2.821711229
66a7e128f37f34ca658be38b,diverging,8,0,1,17183,9.751675802,2.827093967
66a7e128f37f34ca658be38b,diverging,9,0,1,29103,10.27859654,2.84443774
66a7e128f37f34ca658be38b,blossom,1,1,2,17304,9.758692968,2.827346009
66a7e128f37f34ca658be38b,blossom,2,1,2,33549,10.42076234,2.84860747
66a7e128f37f34ca658be38b,blossom,3,1,2,51279,10.84503659,2.859914598
66a7e128f37f34ca658be38b,blossom,4,1,2,44599,10.70546672,2.856373988
66a7e128f37f34ca658be38b,blossom,5,0,2,21925,9.995382817,2.835503626
66a7e128f37f34ca658be38b,blossom,6,1,2,17479,9.768755439,2.827706382
66a7e128f37f34ca658be38b,blossom,7,1,2,19065,9.855609472,2.830766065
66a7e128f37f34ca658be38b,blossom,8,1,2,17756,9.784478766,2.82826702
66a7e128f37f34ca658be38b,blossom,9,0,2,33773,10.42741695,2.848797741
66a7e128f37f34ca658be38b,radial,1,1,3,14360,9.572201843,2.820438324
66a7e128f37f34ca658be38b,radial,2,1,3,7558,8.930361884,2.793008057
66a7e128f37f34ca658be38b,radial,3,1,3,15666,9.659248038,2.823717242
66a7e128f37f34ca658be38b,radial,4,0,3,8868,9.090204571,2.80041048
66a7e128f37f34ca658be38b,radial,5,0,3,20705,9.938130496,2.833590345
66a7e128f37f34ca658be38b,radial,6,1,3,13737,9.527848201,2.818729773
66a7e128f37f34ca658be38b,radial,7,0,3,9673,9.177093778,2.804268276
66a7e128f37f34ca658be38b,radial,8,1,3,21256,9.964394487,2.834472684
66a7e128f37f34ca658be38b,radial,9,1,3,34441,10.44700299,2.849355254
673feeafa80a279f5cc63e33,diverging,1,1,1,29692,10.29863293,2.845037716
673feeafa80a279f5cc63e33,diverging,2,1,1,29641,10.29691382,2.844986399
673feeafa80a279f5cc63e33,diverging,3,1,1,25120,10.13141962,2.839902706
673feeafa80a279f5cc63e33,diverging,4,1,1,22956,10.04133462,2.837012469
